human_gene,Human Gene Systematic Name,worm_gene,worm_ID,sources,all_databases,Is Best Score,Is Best Reverse Score,n_databases,full_pathway,Pathway_Level,geneName,AC1,AC2,AC3,WB1,WB2,WB3,baseMean,log2 fold change,lfcSE,stat,pvalue,padj,Updated Gene Name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Transcript count
ABAT,HGNC:23,gta-1,WBGene00001794,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Amino acid metabolism > GABA metabolism,Metabolism > Amino acid metabolism,gta-1,968,511,341,1801,2082,1895,1134.073302,-0.681206276,0.529508566,-1.286487737,0.198272896,0.431997441,gta-1,IV,10180660,10183865,2
ABAT,HGNC:23,gta-1,WBGene00001794,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Amino acid metabolism > GABA metabolism,Metabolism > Amino acid metabolism > GABA metabolism,gta-1,968,511,341,1801,2082,1895,1134.073302,-0.681206276,0.529508566,-1.286487737,0.198272896,0.431997441,gta-1,IV,10180660,10183865,2
ABAT,HGNC:23,gta-1,WBGene00001794,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Fe-S-containing proteins,Metabolism,gta-1,968,511,341,1801,2082,1895,1134.073302,-0.681206276,0.529508566,-1.286487737,0.198272896,0.431997441,gta-1,IV,10180660,10183865,2
ABAT,HGNC:23,gta-1,WBGene00001794,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Fe-S-containing proteins,Metabolism > Metals and cofactors,gta-1,968,511,341,1801,2082,1895,1134.073302,-0.681206276,0.529508566,-1.286487737,0.198272896,0.431997441,gta-1,IV,10180660,10183865,2
ABAT,HGNC:23,gta-1,WBGene00001794,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Fe-S-containing proteins,Metabolism > Metals and cofactors > Fe-S-containing proteins,gta-1,968,511,341,1801,2082,1895,1134.073302,-0.681206276,0.529508566,-1.286487737,0.198272896,0.431997441,gta-1,IV,10180660,10183865,2
ABCA9,NA,abt-2,WBGene00000020,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport,abt-2,511,272,157,848,1220,407,465.2037348,0.221172199,0.584384565,0.378470296,0.705081256,0.836303296,abt-2,I,2255921,2272866,2
ABCA9,NA,abt-2,WBGene00000020,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,abt-2,511,272,157,848,1220,407,465.2037348,0.221172199,0.584384565,0.378470296,0.705081256,0.836303296,abt-2,I,2255921,2272866,2
ABCA9,NA,abt-4,WBGene00000022,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport,abt-4,131,24,5,1096,2670,915,737.0892239,-3.414776762,0.9540586,-3.579210712,3.45E-04,0.005948341,abt-4,V,323777,330725,1
ABCA9,NA,abt-4,WBGene00000022,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,abt-4,131,24,5,1096,2670,915,737.0892239,-3.414776762,0.9540586,-3.579210712,3.45E-04,0.005948341,abt-4,V,323777,330725,1
ABCA9,NA,abt-5,WBGene00000023,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport,abt-5,57,0,0,9,4,57,18.74368486,-0.407770291,1.751900835,-0.232758774,0.815948727,0.903830526,abt-5,I,12011195,12018684,1
ABCA9,NA,abt-5,WBGene00000023,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,abt-5,57,0,0,9,4,57,18.74368486,-0.407770291,1.751900835,-0.232758774,0.815948727,0.903830526,abt-5,I,12011195,12018684,1
ABCA9,NA,ced-7,WBGene00000421,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport,ced-7,1689,1084,1992,2685,4315,1124,1758.777026,0.294105009,0.422623819,0.695902588,0.486489837,0.688259638,ced-7,III,9570390,9580089,5
ABCA9,NA,ced-7,WBGene00000421,OrthoList,Ensembl Compara|OrthoMCL,NA,NA,2,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,ced-7,1689,1084,1992,2685,4315,1124,1758.777026,0.294105009,0.422623819,0.695902588,0.486489837,0.688259638,ced-7,III,9570390,9580089,5
ABCB10,HGNC:41,haf-1,WBGene00001811,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,haf-1,17,0,0,13,42,21,28.58248486,0.800936275,1.559053319,0.513732446,0.607439064,0.775036886,haf-1,IV,17376427,17379310,1
ABCB10,HGNC:41,haf-1,WBGene00001811,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,haf-1,17,0,0,13,42,21,28.58248486,0.800936275,1.559053319,0.513732446,0.607439064,0.775036886,haf-1,IV,17376427,17379310,1
ABCB10,HGNC:41,haf-1,WBGene00001811,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,haf-1,17,0,0,13,42,21,28.58248486,0.800936275,1.559053319,0.513732446,0.607439064,0.775036886,haf-1,IV,17376427,17379310,1
ABCB10,HGNC:41,haf-1,WBGene00001811,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Small molecule transport > ABC transporters,Small molecule transport,haf-1,17,0,0,13,42,21,28.58248486,0.800936275,1.559053319,0.513732446,0.607439064,0.775036886,haf-1,IV,17376427,17379310,1
ABCB10,HGNC:41,haf-1,WBGene00001811,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,haf-1,17,0,0,13,42,21,28.58248486,0.800936275,1.559053319,0.513732446,0.607439064,0.775036886,haf-1,IV,17376427,17379310,1
ABCB10,HGNC:41,haf-3,WBGene00001813,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,haf-3,35,257,120,756,1013,340,261.3868327,-1.203284726,0.723672881,-1.662746742,0.096363141,0.287864742,haf-3,V,15760455,15766172,1
ABCB10,HGNC:41,haf-3,WBGene00001813,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,haf-3,35,257,120,756,1013,340,261.3868327,-1.203284726,0.723672881,-1.662746742,0.096363141,0.287864742,haf-3,V,15760455,15766172,1
ABCB10,HGNC:41,haf-3,WBGene00001813,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,haf-3,35,257,120,756,1013,340,261.3868327,-1.203284726,0.723672881,-1.662746742,0.096363141,0.287864742,haf-3,V,15760455,15766172,1
ABCB10,HGNC:41,haf-3,WBGene00001813,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Small molecule transport > ABC transporters,Small molecule transport,haf-3,35,257,120,756,1013,340,261.3868327,-1.203284726,0.723672881,-1.662746742,0.096363141,0.287864742,haf-3,V,15760455,15766172,1
ABCB10,HGNC:41,haf-3,WBGene00001813,Alliance+OrthoList,Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PhylomeDB|SonicParanoid,Yes,Yes,9,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,haf-3,35,257,120,756,1013,340,261.3868327,-1.203284726,0.723672881,-1.662746742,0.096363141,0.287864742,haf-3,V,15760455,15766172,1
ABCB10,NA,haf-6,WBGene00001816,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,haf-6,34,6,25,282,512,296,122.2100935,-2.607929073,0.670250644,-3.890975853,9.98E-05,0.002322363,haf-6,I,1162880,1175809,3
ABCB10,NA,haf-6,WBGene00001816,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,haf-6,34,6,25,282,512,296,122.2100935,-2.607929073,0.670250644,-3.890975853,9.98E-05,0.002322363,haf-6,I,1162880,1175809,3
ABCB10,NA,haf-6,WBGene00001816,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,haf-6,34,6,25,282,512,296,122.2100935,-2.607929073,0.670250644,-3.890975853,9.98E-05,0.002322363,haf-6,I,1162880,1175809,3
ABCB10,NA,haf-6,WBGene00001816,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport,haf-6,34,6,25,282,512,296,122.2100935,-2.607929073,0.670250644,-3.890975853,9.98E-05,0.002322363,haf-6,I,1162880,1175809,3
ABCB10,NA,haf-6,WBGene00001816,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,haf-6,34,6,25,282,512,296,122.2100935,-2.607929073,0.670250644,-3.890975853,9.98E-05,0.002322363,haf-6,I,1162880,1175809,3
ABCB10,NA,haf-7,WBGene00001817,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,haf-7,214,23,131,189,301,204,159.9616469,0.468793154,0.719502571,0.651551743,0.514690387,0.709391951,haf-7,V,14773258,14777697,1
ABCB10,NA,haf-7,WBGene00001817,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,haf-7,214,23,131,189,301,204,159.9616469,0.468793154,0.719502571,0.651551743,0.514690387,0.709391951,haf-7,V,14773258,14777697,1
ABCB10,NA,haf-7,WBGene00001817,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,haf-7,214,23,131,189,301,204,159.9616469,0.468793154,0.719502571,0.651551743,0.514690387,0.709391951,haf-7,V,14773258,14777697,1
ABCB10,NA,haf-7,WBGene00001817,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport,haf-7,214,23,131,189,301,204,159.9616469,0.468793154,0.719502571,0.651551743,0.514690387,0.709391951,haf-7,V,14773258,14777697,1
ABCB10,NA,haf-7,WBGene00001817,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,haf-7,214,23,131,189,301,204,159.9616469,0.468793154,0.719502571,0.651551743,0.514690387,0.709391951,haf-7,V,14773258,14777697,1
ABCB6,HGNC:47,hmt-1,WBGene00001815,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB6,HGNC:47,hmt-1,WBGene00001815,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB6,HGNC:47,hmt-1,WBGene00001815,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB6,HGNC:47,hmt-1,WBGene00001815,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Small molecule transport > ABC transporters,Small molecule transport,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB6,HGNC:47,hmt-1,WBGene00001815,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB6,NA,abtm-1,WBGene00022281,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB6,NA,abtm-1,WBGene00022281,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB6,NA,abtm-1,WBGene00022281,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB6,NA,abtm-1,WBGene00022281,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB6,NA,abtm-1,WBGene00022281,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Metabolism,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Metabolism > Metals and cofactors,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,Metabolism,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,Metabolism > Metals and cofactors,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,NA,hmt-1,WBGene00001815,OrthoList,OrthoMCL,NA,NA,1,Small molecule transport > ABC transporters,Small molecule transport > ABC transporters,hmt-1,89,34,1,448,1024,475,244.3355028,-2.887039889,0.873792222,-3.304034776,9.53E-04,0.01255539,hmt-1,III,11091548,11099964,1
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Metabolism,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Metabolism > Metals and cofactors,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
ABCB7,HGNC:48,abtm-1,WBGene00022281,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,Metabolism,abtm-1,219,381,86,1524,3154,874,841.626079,-1.972508789,0.629164515,-3.135124028,0.001717815,0.019434478,abtm-1,I,2472060,2485391,3
